id,district,group,value,year,population,order
1,종로구,국민기초생활보장수급권자,888,2010,6009,22
2,중구,국민기초생활보장수급권자,904,2010,4788,24
3,용산구,국민기초생활보장수급권자,1189,2010,7365,17
4,성동구,국민기초생활보장수급권자,1155,2010,7627,16
5,광진구,국민기초생활보장수급권자,1176,2010,7279,18
6,동대문구,국민기초생활보장수급권자,1212,2010,5033,23
7,중랑구,국민기초생활보장수급권자,1827,2010,8694,8
8,성북구,국민기초생활보장수급권자,1157,2010,7112,19
9,강북구,국민기초생활보장수급권자,1753,2010,8839,7
10,도봉구,국민기초생활보장수급권자,702,2010,6265,21
11,노원구,국민기초생활보장수급권자,2610,2010,12730,1
12,은평구,국민기초생활보장수급권자,1795,2010,12401,2
13,서대문구,국민기초생활보장수급권자,1084,2010,8210,12
14,마포구,국민기초생활보장수급권자,1159,2010,8676,9
15,양천구,국민기초생활보장수급권자,1370,2010,8075,14
16,강서구,국민기초생활보장수급권자,2443,2010,10577,3
17,구로구,국민기초생활보장수급권자,1306,2010,8024,15
18,금천구,국민기초생활보장수급권자,1449,2010,4660,25
19,영등포구,국민기초생활보장수급권자,1788,2010,8955,6
20,동작구,국민기초생활보장수급권자,1426,2010,8638,10
21,관악구,국민기초생활보장수급권자,1788,2010,10250,4
22,서초구,국민기초생활보장수급권자,538,2010,6367,20
23,강남구,국민기초생활보장수급권자,1159,2010,8484,11
24,송파구,국민기초생활보장수급권자,976,2010,9843,5
25,강동구,국민기초생활보장수급권자,1483,2010,8079,13
